Task,Name,Result,Engine,Bound,Time,Note
"mytask","cvr_scb_2_s13_CONCUR_load_unit_op_s1","undetermined","Bcustom1","20 - ","470.345 s",""
"mytask","cvr_scb_2_s13_CONCUR_load_unit_op_s2","undetermined","AMcustom3","12 - ","4.770 s",""
"mytask","cvr_scb_2_s13_CONCUR_load_unit_op_s3","undetermined","K","15 - ","24.293 s",""
"mytask","cvr_scb_2_s13_CONCUR_mem_req_s1","undetermined","K","18 - ","92.254 s",""
"mytask","cvr_scb_3_s8_CONCUR_scb_3_s12","unreachable","Hp","Infinite","0.160 s",""
"mytask","cvr_scb_3_s8_CONCUR_scb_3_s13","unreachable","PRE","Infinite","0.000 s",""
"mytask","cvr_scb_3_s8_CONCUR_load_unit_s1","covered","Tri","2 - 7","0.908 s",""
"mytask","cvr_scb_3_s8_CONCUR_load_unit_buff_s1","covered","Tri","8","1.575 s",""
"mytask","cvr_scb_3_s8_CONCUR_load_unit_op_s1","covered","Tri","9","1.739 s",""
"mytask","cvr_scb_3_s8_CONCUR_load_unit_op_s2","covered","Tri","2 - 6","0.908 s",""
"mytask","cvr_scb_3_s8_CONCUR_load_unit_op_s3","covered","Tri","3 - 7","0.997 s",""
"mytask","cvr_scb_3_s8_CONCUR_mem_req_s1","covered","AD","2 - 6","0.443 s",""
"mytask","cvr_scb_3_s12_CONCUR_scb_3_s13","unreachable","PRE","Infinite","0.000 s",""
"mytask","cvr_scb_3_s12_CONCUR_load_unit_s1","undetermined","B","12 - ","13.404 s",""
"mytask","cvr_scb_3_s12_CONCUR_load_unit_buff_s1","undetermined","AD","16 - ","23.169 s",""
"mytask","cvr_scb_3_s12_CONCUR_load_unit_op_s1","undetermined","K","20 - ","98.977 s",""
"mytask","cvr_scb_3_s12_CONCUR_load_unit_op_s2","undetermined","K","19 - ","52.633 s",""
"mytask","cvr_scb_3_s12_CONCUR_load_unit_op_s3","undetermined","AD","14 - ","14.240 s",""
"mytask","cvr_scb_3_s12_CONCUR_mem_req_s1","undetermined","K","19 - ","100.597 s",""
"mytask","cvr_scb_3_s13_CONCUR_load_unit_s1","undetermined","K","23 - ","369.558 s",""
"mytask","cvr_scb_3_s13_CONCUR_load_unit_buff_s1","undetermined","K","19 - ","123.273 s",""
"mytask","cvr_scb_3_s13_CONCUR_load_unit_op_s1","undetermined","Tri","12 - ","6.074 s",""
"mytask","cvr_scb_3_s13_CONCUR_load_unit_op_s2","undetermined","K","18 - ","52.065 s",""
"mytask","cvr_scb_3_s13_CONCUR_load_unit_op_s3","undetermined","K","18 - ","53.942 s",""
"mytask","cvr_scb_3_s13_CONCUR_mem_req_s1","undetermined","K","16 - ","54.632 s",""
"mytask","cvr_load_unit_s1_CONCUR_load_unit_buff_s1","unreachable","Hp","Infinite","39.781 s",""
"mytask","cvr_load_unit_s1_CONCUR_load_unit_op_s1","unreachable","Hp","Infinite","90.618 s",""
"mytask","cvr_load_unit_s1_CONCUR_load_unit_op_s2","unreachable","Hp","Infinite","39.781 s",""
"mytask","cvr_load_unit_s1_CONCUR_load_unit_op_s3","unreachable","Hp","Infinite","90.618 s",""
"mytask","cvr_load_unit_s1_CONCUR_mem_req_s1","undetermined","K","13 - ","20.722 s",""
"mytask","cvr_load_unit_buff_s1_CONCUR_load_unit_op_s1","unreachable","Hp","Infinite","228.527 s",""
"mytask","cvr_load_unit_buff_s1_CONCUR_load_unit_op_s2","unreachable","Hp","Infinite","111.018 s",""
"mytask","cvr_load_unit_buff_s1_CONCUR_load_unit_op_s3","unreachable","Hp","Infinite","39.781 s",""
"mytask","cvr_load_unit_buff_s1_CONCUR_mem_req_s1","undetermined","Hp","13 - ","771.274 s",""
"mytask","cvr_load_unit_op_s1_CONCUR_load_unit_op_s2","unreachable","Hp","Infinite","0.160 s",""
"mytask","cvr_load_unit_op_s1_CONCUR_load_unit_op_s3","unreachable","Hp","Infinite","0.160 s",""
"mytask","cvr_load_unit_op_s1_CONCUR_mem_req_s1","covered","Tri","2 - 8","0.023 s",""
"mytask","cvr_load_unit_op_s2_CONCUR_load_unit_op_s3","unreachable","Hp","Infinite","0.160 s",""
"mytask","cvr_load_unit_op_s2_CONCUR_mem_req_s1","covered","AD","2 - 4","0.186 s",""
"mytask","cvr_load_unit_op_s3_CONCUR_mem_req_s1","undetermined","K","12 - ","9.102 s",""
