Task,Name,Result,Engine,Bound,Time,Note
"mytask","ariane.CHECK_issue_s32","covered","B","2 - 3","0.857 s",""
"mytask","ariane.CHECK_issue_s33","unreachable","AD","Infinite","0.051 s",""
"mytask","ariane.CHECK_issue_s34","unreachable","AD","Infinite","0.063 s",""
"mytask","ariane.CHECK_issue_s35","unreachable","AD","Infinite","0.051 s",""
"mytask","ariane.CHECK_issue_s36","unreachable","AD","Infinite","0.062 s",""
"mytask","ariane.CHECK_issue_s37","unreachable","AD","Infinite","0.050 s",""
"mytask","ariane.CHECK_issue_s38","unreachable","AD","Infinite","0.063 s",""
"mytask","ariane.CHECK_issue_s39","unreachable","AD","Infinite","0.052 s",""
"mytask","ariane.CHECK_issue_s4","unreachable","AD","Infinite","0.043 s",""
"mytask","ariane.CHECK_issue_s40","unreachable","AD","Infinite","0.062 s",""
"mytask","ariane.CHECK_issue_s41","unreachable","AD","Infinite","0.052 s",""
"mytask","ariane.CHECK_issue_s42","unreachable","AD","Infinite","0.063 s",""
"mytask","ariane.CHECK_issue_s43","unreachable","AD","Infinite","0.054 s",""
"mytask","ariane.CHECK_issue_s44","unreachable","AD","Infinite","0.065 s",""
"mytask","ariane.CHECK_issue_s45","unreachable","AD","Infinite","0.054 s",""
"mytask","ariane.CHECK_issue_s46","unreachable","AD","Infinite","0.064 s",""
"mytask","ariane.CHECK_issue_s47","unreachable","AD","Infinite","0.050 s",""
"mytask","ariane.CHECK_issue_s48","unreachable","AD","Infinite","0.068 s",""
"mytask","ariane.CHECK_issue_s49","unreachable","AD","Infinite","0.053 s",""
"mytask","ariane.CHECK_issue_s5","unreachable","AD","Infinite","0.064 s",""
"mytask","ariane.CHECK_issue_s50","unreachable","AD","Infinite","0.064 s",""
"mytask","ariane.CHECK_issue_s51","unreachable","AD","Infinite","0.052 s",""
"mytask","ariane.CHECK_issue_s52","unreachable","AD","Infinite","0.065 s",""
"mytask","ariane.CHECK_issue_s53","unreachable","AD","Infinite","0.050 s",""
"mytask","ariane.CHECK_issue_s54","unreachable","AD","Infinite","0.063 s",""
"mytask","ariane.CHECK_issue_s55","unreachable","AD","Infinite","0.051 s",""
"mytask","ariane.CHECK_issue_s56","unreachable","AD","Infinite","0.065 s",""
"mytask","ariane.CHECK_issue_s57","unreachable","AD","Infinite","0.051 s",""
"mytask","ariane.CHECK_issue_s58","unreachable","AD","Infinite","0.065 s",""
"mytask","ariane.CHECK_issue_s59","unreachable","AD","Infinite","0.051 s",""
"mytask","ariane.CHECK_issue_s6","unreachable","AD","Infinite","0.063 s",""
"mytask","ariane.CHECK_issue_s60","unreachable","AD","Infinite","0.063 s",""
"mytask","ariane.CHECK_issue_s61","unreachable","AD","Infinite","0.050 s",""
"mytask","ariane.CHECK_issue_s62","unreachable","AD","Infinite","0.062 s",""
"mytask","ariane.CHECK_issue_s63","unreachable","AD","Infinite","0.050 s",""
